Date,Division,Cumulative_Cases,Deaths_Metric_A,Deaths_Metric_B,Source_File
01-05-2026,Chattogram,0.0,173.0,0.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Dhaka,0.0,364.0,0.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Khulna,0.0,75.0,0.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Rajshahi,0.0,75.0,0.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Rangpur,0.0,13.0,0.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
02-05-2026,Chattogram,0.0,0.0,0.0,8718ab9a-b8b0-4771-8171-1689be79acee.pdf
02-05-2026,Dhaka,0.0,0.0,0.0,8718ab9a-b8b0-4771-8171-1689be79acee.pdf
02-05-2026,Khulna,0.0,0.0,0.0,8718ab9a-b8b0-4771-8171-1689be79acee.pdf
02-05-2026,Rajshahi,0.0,0.0,0.0,8718ab9a-b8b0-4771-8171-1689be79acee.pdf
02-05-2026,Rangpur,0.0,0.0,0.0,8718ab9a-b8b0-4771-8171-1689be79acee.pdf
03-05-2026,Chattogram,156.0,0.0,159.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
03-05-2026,Dhaka,419.0,0.0,397.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
03-05-2026,Khulna,79.0,0.0,45.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
03-05-2026,Rajshahi,78.0,0.0,66.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
03-05-2026,Rangpur,6.0,0.0,12.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
04-04-2026,Chattogram,769.0,500.0,7.0,895771df-04d0-4aeb-9f8f-2014156b776b.pdf
04-04-2026,Dhaka,2769.0,2045.0,38.0,895771df-04d0-4aeb-9f8f-2014156b776b.pdf
04-04-2026,Khulna,631.0,468.0,1.0,895771df-04d0-4aeb-9f8f-2014156b776b.pdf
04-04-2026,Rajshahi,1308.0,1066.0,50.0,895771df-04d0-4aeb-9f8f-2014156b776b.pdf
04-04-2026,Rangpur,167.0,42.0,0.0,895771df-04d0-4aeb-9f8f-2014156b776b.pdf
04-05-2026,Chattogram,0.0,0.0,0.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
04-05-2026,Dhaka,0.0,0.0,0.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
04-05-2026,Khulna,0.0,0.0,0.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
04-05-2026,Rajshahi,0.0,0.0,0.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
04-05-2026,Rangpur,0.0,0.0,0.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
05-04-2026,Chattogram,999.0,672.0,10.0,9e2edce9-d7fc-48da-ae19-57a1a521c0e6.pdf
05-04-2026,Dhaka,3259.0,2436.0,40.0,9e2edce9-d7fc-48da-ae19-57a1a521c0e6.pdf
05-04-2026,Khulna,683.0,515.0,6.0,9e2edce9-d7fc-48da-ae19-57a1a521c0e6.pdf
05-04-2026,Rajshahi,1480.0,1185.0,55.0,9e2edce9-d7fc-48da-ae19-57a1a521c0e6.pdf
05-04-2026,Rangpur,206.0,55.0,0.0,9e2edce9-d7fc-48da-ae19-57a1a521c0e6.pdf
05-05-2026,Chattogram,197.0,0.0,190.0,de88d227-13ed-4af4-a910-0d93fea0d297.pdf
05-05-2026,Dhaka,417.0,0.0,644.0,de88d227-13ed-4af4-a910-0d93fea0d297.pdf
05-05-2026,Khulna,115.0,0.0,93.0,de88d227-13ed-4af4-a910-0d93fea0d297.pdf
05-05-2026,Rajshahi,82.0,0.0,66.0,de88d227-13ed-4af4-a910-0d93fea0d297.pdf
05-05-2026,Rangpur,5.0,0.0,6.0,de88d227-13ed-4af4-a910-0d93fea0d297.pdf
06-04-2026,Chattogram,1170.0,712.0,10.0,edadc3d0-4ae3-4d54-b095-23465dde3561.pdf
06-04-2026,Dhaka,3652.0,2685.0,43.0,edadc3d0-4ae3-4d54-b095-23465dde3561.pdf
06-04-2026,Khulna,767.0,577.0,6.0,edadc3d0-4ae3-4d54-b095-23465dde3561.pdf
06-04-2026,Rajshahi,1598.0,1292.0,57.0,edadc3d0-4ae3-4d54-b095-23465dde3561.pdf
06-04-2026,Rangpur,319.0,90.0,0.0,edadc3d0-4ae3-4d54-b095-23465dde3561.pdf
06-05-2026,Chattogram,200.0,0.0,163.0,9e852147-7950-4eab-847d-1235f9c0d617.pdf
06-05-2026,Dhaka,450.0,0.0,384.0,9e852147-7950-4eab-847d-1235f9c0d617.pdf
06-05-2026,Khulna,98.0,0.0,78.0,9e852147-7950-4eab-847d-1235f9c0d617.pdf
06-05-2026,Rajshahi,98.0,0.0,72.0,9e852147-7950-4eab-847d-1235f9c0d617.pdf
06-05-2026,Rangpur,4.0,0.0,1.0,9e852147-7950-4eab-847d-1235f9c0d617.pdf
07-04-2026,Chattogram,1415.0,936.0,10.0,53d218b6-39dc-471a-9908-37597d752f20.pdf
07-04-2026,Dhaka,4160.0,2945.0,51.0,53d218b6-39dc-471a-9908-37597d752f20.pdf
07-04-2026,Khulna,824.0,643.0,6.0,53d218b6-39dc-471a-9908-37597d752f20.pdf
07-04-2026,Rajshahi,1750.0,1395.0,58.0,53d218b6-39dc-471a-9908-37597d752f20.pdf
07-04-2026,Rangpur,379.0,130.0,0.0,53d218b6-39dc-471a-9908-37597d752f20.pdf
07-05-2026,Chattogram,0.0,0.0,0.0,b74eaa3f-69eb-467f-bd26-d54fa103d2bb.pdf
07-05-2026,Dhaka,0.0,0.0,0.0,b74eaa3f-69eb-467f-bd26-d54fa103d2bb.pdf
07-05-2026,Khulna,0.0,0.0,0.0,b74eaa3f-69eb-467f-bd26-d54fa103d2bb.pdf
07-05-2026,Rajshahi,0.0,0.0,0.0,b74eaa3f-69eb-467f-bd26-d54fa103d2bb.pdf
07-05-2026,Rangpur,0.0,0.0,0.0,b74eaa3f-69eb-467f-bd26-d54fa103d2bb.pdf
08-04-2026,Chattogram,1560.0,1062.0,10.0,ca075965-256b-43c8-9b12-aeb35e7ca044.pdf
08-04-2026,Dhaka,4667.0,3231.0,57.0,ca075965-256b-43c8-9b12-aeb35e7ca044.pdf
08-04-2026,Khulna,942.0,715.0,7.0,ca075965-256b-43c8-9b12-aeb35e7ca044.pdf
08-04-2026,Rajshahi,2023.0,1514.0,61.0,ca075965-256b-43c8-9b12-aeb35e7ca044.pdf
08-04-2026,Rangpur,441.0,150.0,0.0,ca075965-256b-43c8-9b12-aeb35e7ca044.pdf
08-05-2026,Chattogram,212.0,0.0,217.0,d7d30198-1c55-41fa-8c4f-33ec501d638b.pdf
08-05-2026,Dhaka,451.0,0.0,384.0,d7d30198-1c55-41fa-8c4f-33ec501d638b.pdf
08-05-2026,Khulna,62.0,0.0,68.0,d7d30198-1c55-41fa-8c4f-33ec501d638b.pdf
08-05-2026,Rajshahi,72.0,0.0,69.0,d7d30198-1c55-41fa-8c4f-33ec501d638b.pdf
08-05-2026,Rangpur,14.0,0.0,7.0,d7d30198-1c55-41fa-8c4f-33ec501d638b.pdf
09-04-2026,Chattogram,126.0,0.0,85.0,851a956d-c2a6-45ce-9201-6905d467f634.pdf
09-04-2026,Dhaka,261.0,0.0,237.0,851a956d-c2a6-45ce-9201-6905d467f634.pdf
09-04-2026,Khulna,59.0,0.0,60.0,851a956d-c2a6-45ce-9201-6905d467f634.pdf
09-04-2026,Rajshahi,116.0,0.0,89.0,851a956d-c2a6-45ce-9201-6905d467f634.pdf
09-04-2026,Rangpur,17.0,0.0,13.0,851a956d-c2a6-45ce-9201-6905d467f634.pdf
09-05-2026,Chattogram,160.0,0.0,158.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
09-05-2026,Dhaka,353.0,0.0,241.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
09-05-2026,Khulna,61.0,0.0,51.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
09-05-2026,Rajshahi,59.0,0.0,41.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
09-05-2026,Rangpur,1.0,0.0,5.0,eb0902c8-d064-45f7-914b-6d5963222198.pdf
10-05-2026,Dhaka,3.0,0.0,156.0,758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
10-05-2026,Khulna,0.0,0.0,0.0,758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
10-05-2026,Rajshahi,0.0,0.0,0.0,758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
10-05-2026,Rangpur,0.0,0.0,0.0,758c39cc-643d-469e-9fd1-ce1adfd0bbad.pdf
11-04-2026,Chattogram,99.0,0.0,68.0,051959af-648c-400c-84ec-2cb2adc35348.pdf
