Date,Division,Reported_Coverage_Pct,Source_File
01-05-2026,Dhaka,100.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Dhaka,99.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Dhaka,97.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Khulna,100.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Khulna,95.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Rajshahi,103.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
01-05-2026,Rajshahi,100.0,20c2c9f8-5556-447d-9e44-da3ad89dabb3.pdf
03-05-2026,Dhaka,100.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
03-05-2026,Dhaka,101.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
03-05-2026,Dhaka,98.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
03-05-2026,Khulna,100.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
03-05-2026,Khulna,95.0,2d5f3eb0-70f1-4171-8e56-a83fc7804b3f.pdf
04-05-2026,Dhaka,101.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
04-05-2026,Dhaka,100.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
04-05-2026,Dhaka,98.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
04-05-2026,Khulna,100.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
04-05-2026,Khulna,96.0,013ded18-6af2-4f6f-bbf3-aa0e639c0258.pdf
05-05-2026,Dhaka,102.0,de88d227-13ed-4af4-a910-0d93fea0d297.pdf
05-05-2026,Dhaka,101.0,de88d227-13ed-4af4-a910-0d93fea0d297.pdf
05-05-2026,Dhaka,98.0,de88d227-13ed-4af4-a910-0d93fea0d297.pdf
06-05-2026,Chattogram,101.0,9e852147-7950-4eab-847d-1235f9c0d617.pdf
06-05-2026,Chattogram,120.0,9e852147-7950-4eab-847d-1235f9c0d617.pdf
