Channel,Video_ID,Author,Comment,Likes,Published_At
Channel 24,EWSUaCcNc_k,@tanzinrahmanripon2265,আল্লাহ আপনি সহায়ক হন সবার জন্য 🤲,4,2026-03-30T15:17:30Z
Channel 24,EWSUaCcNc_k,@AyeshaAktar-v4z,এই পরিস্থিতিী জন্য দ্বায়ী সেনাপ্রধান আর ইউনুস।,0,2026-03-31T00:08:52Z
SOMOY TV,oGJ6561Nf-w,@Mubarek-y9k,এ মনে হয় পড়াশোনা না করেই মন্ত্রী হয়েছে,0,2026-04-25T05:49:53Z
SOMOY TV,oGJ6561Nf-w,@Mohammed-wm8lt,২ বছর ধরে হামের টিকা দেয়া হ হয়নি,0,2026-03-30T23:52:04Z
SOMOY TV,oGJ6561Nf-w,@cvggjkfsxvbn,"মন্ত্রী সত্য কথা বলছে। ৮ বছরের তথ্য নুনুস গ্যাং, নাহিদ ও আসিফ উপদেষ্টা থাকা অবস্থায় সচিবালয়ে আগুন দিয়ে পুড়িয়ে দেয়া হয়েছে। কুকুর পুড়ে মারা গেছে নাটকটা মনে আছে?",0,2026-03-30T09:39:19Z
SOMOY TV,oGJ6561Nf-w,@hossain7543,তোরা হইলি বড় চোর বিগত ২ বছর আর এই বছর নাই কেন উত্তর দেও,0,2026-03-30T13:14:03Z
Rtv News,XONWpBo9Enk,@MdAbdullah-w2j7r,আল্লাহ সুস্থ করে দাও নিস্পাপ শিশুদেরকে,12,2026-04-01T14:23:49Z
Rtv News,XONWpBo9Enk,@village_life_story_officials,আল্লাহ তুমি সবাই কে হেফাজত করুন ফি আমানিল্লাহ্ ❤❤❤,0,2026-04-04T12:54:14Z
Rtv News,XONWpBo9Enk,@tulisiamsajim,সবাই দোয়া করেন আমার সন্তান যেনো সুস্থ থাকে🥺🥺🥺🥺,1,2026-04-03T13:48:19Z
Rtv News,XONWpBo9Enk,@GAUSEMINA-z7d,❤❤❤❤❤ হে আল্লাহ তুমি আমাদের সবাই কে হিফাজত করিও মালিক আমিন আমিন আমিন আমিন আমিন আমিন আমিন ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,4,2026-03-31T17:06:54Z
Rtv News,XONWpBo9Enk,@JahagirYoho,আললাহু মাপ করুন,1,2026-04-03T10:16:46Z
Rtv News,XONWpBo9Enk,@urmi1342,কেন হচ্ছে কি কারনে হচ্ছে রোগ গুলো নতুন করে সেটা খুঁজে বের করুন এটা হামের টিকা না দেওয়ার কারণে না অন্য কোন কারণ হতে পারে,5,2026-03-31T13:21:00Z
Rtv News,XONWpBo9Enk,@urmi1342,কবে কোথায় হামের টিকা দেওয়া হয়নি আমরা তো আমাদের বাচ্চাদের ডিসি আর আমরা যখন দিতে গেছি তখন তো হাজার হাজার মানুষকে দেখছি যে বাচ্চাদের নিয়ে আসছে হামের টিকা দেওয়ার জন্য মানুষ মন্তব্য করার আগে একবারও ভাবে না আপনার বাচ্চাকে আপনি দেননি আমি টিকা আমরা তো সাধারণ জনগণ বলতেছি,1,2026-03-31T13:18:09Z
Rtv News,XONWpBo9Enk,@KawaarMiya-d9z1c,শেরপুর জেলা তো শ্রীবরদী থানার কিছু কিছু বাচ্চাদের এই অবস্থা আছে একটু খোঁজ নিয়ে দেখুন এমপি মহোদয়,0,2026-04-01T13:13:17Z
Rtv News,XONWpBo9Enk,@ImranHossain-nh3qp,আসলে কি হামের টিকা দিয়েছে না জন্য কোনো টিকা দিয়েছে  হামের টিকা  বলে চালিয়ে দিয়েছে,1,2026-04-01T04:38:43Z
Rtv News,XONWpBo9Enk,@jiniaafroz-c9k,"৮ বছর টীকা দেওয়া হয়নি এটা ভুল তথ্য,, আমার মেয়েকে দু&#39;বছর আগে দিয়েছি",5,2026-03-31T09:54:16Z
Rtv News,XONWpBo9Enk,@MdkamalislamRumana,বরগুনা  আমাদের  বাড়ি?  আমার বোনের ছেলের  মারা গেছে,0,2026-04-03T07:55:58Z
Rtv News,XONWpBo9Enk,@S.JCHOWDHURY,আমারও এটা হয়েছে কিন্তু অতটাও সমস্যা হচ্ছে না <br>আমি টিকা দিইনি এটা আমার সমস্যা,0,2026-04-05T16:55:27Z
Rtv News,XONWpBo9Enk,@JannatulMahia-v1t,"ভোটের 3আগে ও আমি আমার বাচ্চাকে টিকা দিছি,,,",0,2026-04-02T15:49:17Z
Rtv News,XONWpBo9Enk,@mohsin8698,"<a href=""https://www.youtube.com/watch?v=XBsDAOvRhR4"">https://youtu.be/XBsDAOvRhR4?si=sWK-ddnV0QZ2UR-_</a> হাম প্রতিরোধে নিয়মিত রুটিন টিকার বাইরে ও মাঝে মাঝে হামের টিকা ক্যাম্পেইন এ ও শিশুর হাম রুবেলা টিকা দিন।",0,2026-04-01T02:17:00Z
SOMOY TV,Z0fInYeCTKE,@sultanaafrin4308,"একজন করে গেছে অকাজ, আরেকজন করবে দোষারোপ৷ <br>অসহায় মা বাবা। 😔",8,2026-05-11T08:13:30Z
SOMOY TV,Z0fInYeCTKE,@MdMamun-bi8bz,সুদখোর ইউনুস কে এখনো বিচারের আওতায় আনা হচ্ছে না কেন জাতি জানতে চায়।,6,2026-05-11T08:22:29Z
SOMOY TV,Z0fInYeCTKE,@raselduary649,সুদখোর ইউনুস দেশটাকে জাহান্নামে পরিণত করেছে। যার কারণ আজ শিশুরা  টিকার অবহেলায় মারা যাচ্ছে।আইনের আওতায়  দূরত্ব তদন্ত করে বিচার করা হোক,1,2026-05-11T09:19:43Z
SOMOY TV,Z0fInYeCTKE,@rubelrahmanbabu6875,সুদ সরকার দেশ টা জাহান্নাম বানিয়ে দিয়ে গেছে....!!!!!. আর এই সরকার সেটা চলমান রেখেছে....!!!!,8,2026-05-11T07:09:25Z
SOMOY TV,Z0fInYeCTKE,@etaushy5865,"সুশীল সমাজ এখন রাস্তায় নামে না কেনো? হাসিনার জন্য নামছিলো, কারণ সার্থ। এখন শিশু মরে, কার কি? এখানে সার্থ নাই। তাই সবাই চুপ",1,2026-05-11T10:04:17Z
SOMOY TV,Z0fInYeCTKE,@rengoku-ultimate,"যার টিকা নিয়েছে তাদেরও হচ্ছে, তারা কাকে দোষ দিবে?  ইউনুসকে?? করোনার মতোন নতুন রোগ কিনা দেখুন।",0,2026-05-11T13:09:55Z
SOMOY TV,Z0fInYeCTKE,@HasanSheikh-p2o,দেশের  আইন নাই,2,2026-05-11T06:38:30Z
SOMOY TV,Z0fInYeCTKE,@bluesky441,"১ মে ২০২৬ এ ডেইলি স্টারের রিপোর্টে বলা হয়েছে ইউনিসেফের দেশীয় প্রতিনিধি রানা ফ্লাওয়ার্স আগেই সতর্ক ও অনুরোধ করেছিলেন অন্তর্বর্তী সরকার যেন টিকা ক্রয় বন্ধ না করে কিন্তু উপদেষ্টা নূরজাহান বেগম সেটা কর্ণপাত করেনি। আজকে দেশে হাম, জলাতঙ্ক ইত্যাদি প্রানঘাতক রোগের টিকার অভাব যেগুলো ফ্রিতে পাওয়া যেত, আর নেই। ইউনূস গ্রামীন ব্যাংকের এমডি পদ ব্যবহার করে পনেরো বছর লুটতে পারেনাই তাই ক্ষমতা পেয়ে দেড় বছর এমনই লুটেছে যে টিকার টাকাও ছাড়েনি। আমি ছাত্র হিসেবে নিজে আন্দোলন করেও বলছি ইউনূসের নামে হত্যা মামলা ও বিচার হওয়া দরকার। বাংলাদেশ যাকে নিয়ে গর্ব করতো আজ তাকে নরপিশাচ হিসেবে ঘৃণা করে। কতটা বেহায়া। দেশ চালাবার কোনো যোগ্যতা নেই, একটার পর একটা দেশের ক্ষতি করেছে তাও পাঁচ বছর গদিতে থাকার খায়েশ! আমার সন্দেহ কতখানি ঠিক তা জানিনা তবে ইনকিলাব মঞ্চের হাদীকে ইউনুস খুন করে,অরাজকতা সৃষ্টি করে নির্বাচন পেছাবার চক্রান্ত করছিল কিনা কে জানে? ইউনূসের পেটে তো দুষ্টবুদ্ধি। সে তো আগাগোড়া একটা খারাপ লোক। যাই হোক রিপোর্টে এটাও আছে এপ্রিলে বিএনপি সরকার ফের ইউনিসেফের সাথে মিলে টিকা আনা শুরু করেছে।",0,2026-05-11T09:32:30Z
SOMOY TV,Z0fInYeCTKE,@aslihanomar,তাদের ভুলের খেসারত কেনো মা বাবাকে ভুক্তে হবে,0,2026-05-11T09:10:40Z
SOMOY TV,Z0fInYeCTKE,@sumonchowdhury7906,NCP সব দোষ তাদের কে বিচারের আওতায় আনা হোক,1,2026-05-11T09:34:01Z
SOMOY TV,Z0fInYeCTKE,@nirmolridoy4997,"আমি টিকাদান কারী,আমি তো হামের টিকা বন্ধ থাকতে দেখিনি,অন্যান্য টিকা বন্ধ থাকে মাঝে মাঝে।কিন্তু হামের টিকা তো সরবরাহ ছিল।",1,2026-05-11T09:59:17Z
SOMOY TV,Z0fInYeCTKE,@MdfazlulBari-q9v,অন্তবতী সরকারের বিরুদ্ধে  মতামত প্রদান করতে বর্তমান সরকার অনিচ্ছুক 😢,0,2026-05-11T10:59:51Z
SOMOY TV,Z0fInYeCTKE,@Md.OliUllah-p7x5z,এবার অনতরবরতিকালিন সরকারকে গ্রেপতার করা হউক।,0,2026-05-11T14:07:20Z
SOMOY TV,Z0fInYeCTKE,@hasan28914,অতীত ভুলে যাও বাবুরা 😂😂😂😂😂,0,2026-05-11T09:21:56Z
SOMOY TV,Z0fInYeCTKE,@msmitu6326,সরকার নিরব বলে মনে হয়।,0,2026-05-11T08:38:29Z
Channel 24,ZWeUSLgD3nA,@MdSurug-x5y7u,আমার তো ৬ বছরের একটি ছেলে আছে খুব ভয় লাগছে,0,2026-03-30T13:06:59Z
Prothom Alo,SCcCyCnxmlM,@SuperDiodiodio,সুন্দর উপস্থাপনা। উপস্থিত বুদ্ধিসম্পন্ন বোঝা যাচ্ছে।,0,2026-04-24T19:45:54Z
Prothom Alo,SCcCyCnxmlM,@atmbadruzzaman3529,"আমি ড. বদরুজ্জামান,  ভ্যাক্সিন সায়েন্টিস্ট।  কাজ করছি তাইওয়ানের ন্যাশনাল হেলথ রিসার্চ ইনস্টিটিউটের ভ্যাক্সিনোলজি ডিপার্টমেন্টে।  আমি বেশ কিছু পয়েন্টে ডা. মান্নান সাহেবের কথায় বাড়তি পয়েন্ট যুক্ত করতে চাই। আনফরচুনেটলি উনার তথ্যগুলো খুব বেশি আপডেটেড/গভীর না।",0,2026-04-02T01:29:30Z
Prothom Alo,SCcCyCnxmlM,@dmgod111,বাচ্চা স্কুলে পাঠাবো না কারন স্কুলের বাচ্চাদের বেশীরভাগ পরিবারে নবজাতক থেকে শুরু করে ১ /২ বছরের বাচ্চা রয়েছে।বাসায় বসে পড়াবো।,0,2026-04-02T06:37:00Z
Prothom Alo,SCcCyCnxmlM,@mukulgreen,আমরা স্কুলকে বন্ধ দিয়ে দিয়েছি!,0,2026-04-04T01:12:51Z
SOMOY TV,MrrlhNWk650,@IslamIsPerfect2026,আমার ভাগ্নির হাম রোগ হয়েছে সবাই দোয়া করবেন 🤲🤲,0,2026-03-31T09:48:48Z
Channel 24,IBglJBwNsp8,@shamimahmed9191,দেশের বাহির থেকেও কি কোন ভ্যাক্সিন আনা সম্ভব হচ্ছে না?,0,2026-05-11T14:42:41Z
